Timestamp,Day,Participant,Location Coordinates,HRV
2023-01-13 15:51:50,Friday,2,"52.27100041, 10.53809599",38.91625395534
2023-01-13 15:52:00,Friday,2,"52.27045512, 10.53843651",35.6453079611
2023-01-13 15:52:10,Friday,2,"52.2699208, 10.53875368",35.6453079611
2023-01-13 15:52:20,Friday,2,"52.26935431, 10.53908275",35.18868709376
2023-01-13 15:52:30,Friday,2,"52.2689179, 10.5392752",33.3622036244
2023-01-13 15:52:40,Friday,2,"52.2685612142857, 10.5394619857143",33.3622036244
2023-01-13 15:52:50,Friday,2,"52.26815985, 10.53972669",33.1204549576
2023-01-13 15:53:00,Friday,2,"52.2679085, 10.5399334",32.1534602904
2023-01-13 15:53:10,Friday,2,"52.2677353, 10.5400541",32.1534602904
2023-01-13 15:53:20,Friday,2,"52.26754941, 10.5401565",32.34260398632
2023-01-13 15:53:30,Friday,2,"52.2670400666667, 10.5404425444444",33.09917877
2023-01-13 15:53:40,Friday,2,"52.2666442666667, 10.5406599444444",33.09917877
2023-01-13 15:53:50,Friday,2,"52.26602162, 10.54096513",34.18346056824
2023-01-13 15:54:00,Friday,2,"52.2651983, 10.54151319",38.5205877612
2023-01-13 15:54:10,Friday,2,"52.26441442, 10.54207578",38.5205877612
2023-01-13 15:54:20,Friday,2,"52.26379635, 10.54248989",39.17703052828
2023-01-13 15:54:30,Friday,2,"52.2634511428571, 10.5426448428571",41.8028015966
2023-01-13 15:54:40,Friday,2,"52.2630190777778, 10.5428335777778",41.8028015966
2023-01-13 15:55:10,Friday,2,"52.2627089, 10.5429445",40.0312527505
2023-01-13 15:55:20,Friday,2,"52.26226395, 10.5429939",39.44221977108
2023-01-13 15:55:30,Friday,2,"52.26141775, 10.54268375",37.0860878534
2023-01-13 15:55:40,Friday,2,"52.26059365, 10.54181095",37.0860878534
2023-01-13 15:55:50,Friday,2,"52.25986545, 10.5411424",36.63924282746
2023-01-13 15:56:30,Friday,2,"52.2595541, 10.5410208",32.7536334929
2023-01-13 15:56:40,Friday,2,"52.25933816, 10.5409007",32.7536334929
2023-01-13 15:56:50,Friday,2,"52.25858701, 10.54053186",32.73369426658
2023-01-13 15:57:00,Friday,2,"52.25761312, 10.54025841",32.6539373613
2023-01-13 15:57:10,Friday,2,"52.25656997, 10.53999299",32.6539373613
2023-01-13 15:57:20,Friday,2,"52.2558427, 10.5398089",32.6539373613
2023-01-13 15:57:20,Friday,2,"52.2553534625, 10.5396077125",31.922879568375
2023-01-13 15:57:30,Friday,2,"52.2544502, 10.5391032",29.7297061896
2023-01-18 06:22:20,Wednesday,1,"52.15915906, 10.53301123",
2023-01-18 06:22:30,Wednesday,1,"52.15915906, 10.53301123",
2023-01-18 06:22:40,Wednesday,1,"52.15915906, 10.53301123",
2023-01-18 06:22:50,Wednesday,1,"52.15915906, 10.53301123",
2023-01-18 06:23:00,Wednesday,1,"52.159159706, 10.533010248",23.7825228302
2023-01-18 06:23:10,Wednesday,1,"52.159173882, 10.532950589",23.7825228302
2023-01-18 06:23:20,Wednesday,1,"52.15917625, 10.53286303",23.7825228302
2023-01-18 06:23:20,Wednesday,1,"52.15917578, 10.5328477",23.7825228302
2023-01-18 06:23:30,Wednesday,1,"52.159176425, 10.532846943",23.8539929817
2023-01-18 06:23:40,Wednesday,1,"52.159175577, 10.53284717",23.8539929817
2023-01-18 06:23:50,Wednesday,1,"52.159149655, 10.532824763",23.8539929817
2023-01-18 06:24:00,Wednesday,1,"52.159129118, 10.532773814",22.7733252175
2023-01-18 06:24:10,Wednesday,1,"52.159129684, 10.532768736",22.7733252175
2023-01-18 06:24:20,Wednesday,1,"52.159130709, 10.532759215",22.7733252175
2023-01-18 06:24:30,Wednesday,1,"52.159130779, 10.532749609",22.8695943409
2023-01-18 06:24:40,Wednesday,1,"52.159130102, 10.532745867",22.8695943409
2023-01-18 06:24:50,Wednesday,1,"52.159128886, 10.532744626",22.8695943409
2023-01-18 06:25:00,Wednesday,1,"52.159125652, 10.532747757",
2023-01-18 06:25:10,Wednesday,1,"52.159118405, 10.532750754",
2023-01-18 06:25:20,Wednesday,1,"52.159113045, 10.532763528",
2023-01-18 06:25:30,Wednesday,1,"52.15910938, 10.5327591",
2023-01-18 06:25:30,Wednesday,1,"52.159110765, 10.53276513",
2023-01-18 06:25:40,Wednesday,1,"52.159118053, 10.532674638",
2023-01-18 06:25:50,Wednesday,1,"52.15916018, 10.532512534",
2023-01-18 06:26:00,Wednesday,1,"52.15917495, 10.532461371",
2023-01-18 06:26:10,Wednesday,1,"52.159166186, 10.532436752",
2023-01-18 06:26:20,Wednesday,1,"52.159156656, 10.532421996",
2023-01-18 06:26:30,Wednesday,1,"52.159152205, 10.5323909783333",
2023-01-18 06:26:30,Wednesday,1,"52.1591514, 10.5323885525",
2023-01-18 06:26:40,Wednesday,1,"52.159151758, 10.532383075",
2023-01-18 06:26:50,Wednesday,1,"52.159215327, 10.532204698",
2023-01-18 06:27:00,Wednesday,1,"52.159491015, 10.531505701",48.5134108803
2023-01-18 06:27:10,Wednesday,1,"52.159894795, 10.530298314",48.5134108803
2023-01-18 06:27:20,Wednesday,1,"52.160425348, 10.528624036",48.5134108803
2023-01-18 06:27:30,Wednesday,1,"52.161141756, 10.526624942",49.6886082278
2023-01-18 06:27:40,Wednesday,1,"52.162109125, 10.524496211",49.6886082278
2023-01-18 06:27:50,Wednesday,1,"52.163404451, 10.522357849",49.6886082278
2023-01-18 06:28:00,Wednesday,1,"52.165032699, 10.520382731",45.3776964739
2023-01-18 06:28:10,Wednesday,1,"52.167028756, 10.518716052",45.3776964739
2023-01-18 06:28:20,Wednesday,1,"52.169208047, 10.51731505",45.3776964739
2023-01-18 06:28:30,Wednesday,1,"52.171577376, 10.516246258",43.1613456933
2023-01-18 06:28:40,Wednesday,1,"52.173952702, 10.515324538",43.1613456933
2023-01-18 06:28:50,Wednesday,1,"52.176281449, 10.514374981",43.1613456933
2023-01-18 06:29:00,Wednesday,1,"52.178561632, 10.513437021",35.574889392
2023-01-18 06:29:10,Wednesday,1,"52.180872794, 10.512473843",35.574889392
2023-01-18 06:29:20,Wednesday,1,"52.183262907, 10.511476224",35.574889392
2023-01-18 06:29:30,Wednesday,1,"52.185690814, 10.510561443",36.4634082978
2023-01-18 06:29:40,Wednesday,1,"52.188136891, 10.509580348",36.4634082978
2023-01-18 06:29:50,Wednesday,1,"52.19051363, 10.508601515",36.4634082978
2023-01-18 06:30:00,Wednesday,1,"52.192888512, 10.507667645",35.6637067065
2023-01-18 06:30:10,Wednesday,1,"52.195258965, 10.506736364",35.6637067065
2023-01-18 06:30:20,Wednesday,1,"52.197645063, 10.505791684",35.6637067065
2023-01-18 06:30:30,Wednesday,1,"52.199986527, 10.504849833",34.1904127327
2023-01-18 06:30:40,Wednesday,1,"52.202304446, 10.504170443",34.1904127327
2023-01-18 06:30:50,Wednesday,1,"52.204677951, 10.503947831",34.1904127327
2023-01-18 06:31:00,Wednesday,1,"52.207116092, 10.504173315",34.2386940575
2023-01-18 06:31:10,Wednesday,1,"52.209526474, 10.504816569",34.2386940575
2023-01-18 06:31:20,Wednesday,1,"52.211970656, 10.505512817",34.2386940575
2023-01-18 06:31:30,Wednesday,1,"52.214538474, 10.506261259",33.4810897201
2023-01-18 06:31:40,Wednesday,1,"52.217257673, 10.507063942",33.4810897201
2023-01-18 06:31:50,Wednesday,1,"52.220107101, 10.507881874",33.4810897201
2023-01-18 06:32:00,Wednesday,1,"52.223033276, 10.508717277",32.5736154254
2023-01-18 06:32:10,Wednesday,1,"52.225895832, 10.509547714",32.5736154254
2023-01-18 06:32:20,Wednesday,1,"52.228662825, 10.510350355",32.5736154254
2023-01-18 06:32:30,Wednesday,1,"52.231400357, 10.511131825",33.8067431318
2023-01-18 06:32:40,Wednesday,1,"52.234112269, 10.511933295",33.8067431318
2023-01-18 06:32:50,Wednesday,1,"52.236799081, 10.512642747",33.8067431318
2023-01-18 06:33:00,Wednesday,1,"52.239433586, 10.512756379",32.7432276315
2023-01-18 06:33:10,Wednesday,1,"52.24179827, 10.513485186",32.7432276315
2023-01-18 06:33:20,Wednesday,1,"52.243683695, 10.515929642",32.7432276315
2023-01-18 06:33:30,Wednesday,1,"52.244737395, 10.519079136",30.8805124715
2023-01-18 06:33:40,Wednesday,1,"52.245094998, 10.522058285",30.8805124715
2023-01-18 06:33:50,Wednesday,1,"52.24529113, 10.524718048",30.8805124715
2023-01-18 06:34:00,Wednesday,1,"52.245492564, 10.527010684",31.1737243822
2023-01-18 06:34:10,Wednesday,1,"52.245835764, 10.529024329",31.1737243822
2023-01-18 06:34:20,Wednesday,1,"52.246352721, 10.530797255",31.1737243822
2023-01-18 06:34:30,Wednesday,1,"52.247016429, 10.532301017",28.6232300557
2023-01-18 06:34:40,Wednesday,1,"52.247774329, 10.533580368",28.6232300557
2023-01-18 06:34:50,Wednesday,1,"52.248534373, 10.534737372",28.6232300557
2023-01-18 06:35:00,Wednesday,1,"52.249276012, 10.535846759",26.8003302145
2023-01-18 06:35:10,Wednesday,1,"52.250062933, 10.53682661",26.8003302145
2023-01-18 06:35:20,Wednesday,1,"52.250831538, 10.537738752",26.8003302145
2023-01-18 06:35:30,Wednesday,1,"52.251534457, 10.538655269",23.0981377229
2023-01-18 06:35:40,Wednesday,1,"52.25203714, 10.539389857",23.0981377229
2023-01-18 06:35:50,Wednesday,1,"52.252287606, 10.539683461",23.0981377229
2023-01-18 06:36:00,Wednesday,1,"52.2523183, 10.539701908",
2023-01-18 06:36:10,Wednesday,1,"52.252367005, 10.539777665",
2023-01-18 06:36:20,Wednesday,1,"52.252446403, 10.539917035",
2023-01-18 06:36:30,Wednesday,1,"52.252533816, 10.540044808",37.9696777075
2023-01-18 06:36:40,Wednesday,1,"52.252561098, 10.540160029",37.9696777075
2023-01-18 06:36:50,Wednesday,1,"52.252490752, 10.540147188",37.9696777075
2023-01-18 06:37:00,Wednesday,1,"52.252451663, 10.540050548",36.2989937677
2023-01-18 06:37:10,Wednesday,1,"52.252496569, 10.540074132",36.2989937677
2023-01-18 06:37:20,Wednesday,1,"52.252526041, 10.539864863",36.2989937677
2023-01-18 06:37:30,Wednesday,1,"52.252645444, 10.539726543",38.8297054209
2023-01-18 06:37:40,Wednesday,1,"52.252765475, 10.539405913",38.8297054209
2023-01-18 06:37:50,Wednesday,1,"52.252771333, 10.539132914",38.8297054209
2023-01-18 06:38:00,Wednesday,1,"52.25261779, 10.539120063",19.1921682254
2023-01-18 06:38:10,Wednesday,1,"52.25254062, 10.539015625",19.1921682254
2023-01-18 06:38:20,Wednesday,1,"52.25252188, 10.5389129675",19.1921682254
2023-01-19 18:32:40,Thursday,3,"52.3150573, 10.5590563",12.0855783361
2023-01-19 18:32:50,Thursday,3,"52.3146392166667, 10.5589839666667",12.0855783361
